name,n_qubits,bandwidth,entanglement,n_samples,effective_rank,top_eigenvalue,off_diagonal_mean,rbf_correlation,rbf_gamma,geometric_difference,passes_conditioning,passes_distinctness,n_features,gram_seconds,selected_features
zz,2,1.0,linear,300,0.003935551870585732,0.9713950583281774,0.9555239406802686,0.9537637239875034,10.0,56.227956744383846,False,False,2,0.0636268809903413,V258;V257
zz,2,0.5,linear,300,0.0039000806547625686,0.9719584871253809,0.9569011735206403,0.9000254945457078,10.0,71.0039835082815,False,False,2,0.11048138799378648,V258;V257
zz,2,0.25,linear,300,0.0038250505616582394,0.9763438317732629,0.966943703837158,0.9348080293588368,10.0,54.39919897980276,False,False,2,0.12677763600368053,V258;V257
zz,2,0.125,linear,300,0.003663929166513771,0.9845822032992279,0.9785514941335915,0.9555357464481471,10.0,11.553056467636969,False,False,2,0.1209428760339506,V258;V257
zz,2,0.0625,linear,300,0.003526155872767185,0.9909155398171832,0.9878660850310366,0.9941661809188352,10.0,1.6056196596904526,False,False,2,0.11896946799242869,V258;V257
zz,2,0.03125,linear,300,0.003420829363312603,0.9961311998336887,0.9956495624481486,0.9993350843592157,10.0,1.152006221173497,False,False,2,0.19158605200937018,V258;V257
zz,2,1.0,none,300,0.003789075910807233,0.9787242008905727,0.9681076250367139,0.8926948507336512,2.154434690031882,53.35454216653802,False,False,2,0.09873999300180003,V258;V257
zz,2,0.5,none,300,0.003676879846341,0.9847610871218427,0.9765605206493878,0.9996106453419736,1.0,24.221054324048726,False,False,2,0.07932971499394625,V258;V257
zz,2,0.25,none,300,0.0035210156046029104,0.9915823456043276,0.9887880498019934,0.9996793455099016,1.0,3.0080478192992763,False,False,2,0.16516431100899354,V258;V257
zz,2,0.125,none,300,0.0034099846196478166,0.9967765579602151,0.9964492318309135,0.9999491828579378,1.0,1.1956098428995805,False,False,2,0.10221083299256861,V258;V257
zz,2,0.0625,none,300,0.003358385933359235,0.9990804804420444,0.9990542170480974,0.9999961724387311,1.0,1.2976731729510136,False,False,2,0.08958833100041375,V258;V257
zz,2,0.03125,none,300,0.0033408295545508653,0.9997620229617127,0.9997597186336106,0.9999997501423241,1.0,1.336942016219953,False,False,2,0.1410325129982084,V258;V257
z,2,1.0,none,300,0.003789075910807233,0.9787242008905727,0.9681076250367139,0.8926948507336512,2.154434690031882,53.35454216653802,False,False,2,0.0620706639601849,V258;V257
z,2,0.5,none,300,0.003676879846341,0.9847610871218427,0.9765605206493878,0.9996106453419736,1.0,24.221054324048726,False,False,2,0.10929619497619569,V258;V257
z,2,0.25,none,300,0.0035210156046029104,0.9915823456043276,0.9887880498019934,0.9996793455099016,1.0,3.0080478192992763,False,False,2,0.13209571602055803,V258;V257
z,2,0.125,none,300,0.0034099846196478166,0.9967765579602151,0.9964492318309135,0.9999491828579378,1.0,1.1956098428995805,False,False,2,0.07525985495885834,V258;V257
z,2,0.0625,none,300,0.003358385933359235,0.9990804804420444,0.9990542170480974,0.9999961724387311,1.0,1.2976731729510136,False,False,2,0.08028502902016044,V258;V257
z,2,0.03125,none,300,0.0033408295545508653,0.9997620229617127,0.9997597186336106,0.9999997501423241,1.0,1.336942016219953,False,False,2,0.1563999479985796,V258;V257
dense_angle,1,1.0,linear,300,0.0036372251151715,0.9858073205090235,0.9821470065894184,0.8211107308710796,3.1622776601683795,39.05955873602403,False,False,2,0.0768758250051178,V258;V257
dense_angle,1,0.5,linear,300,0.0035719993363419467,0.989100285120198,0.9865176891579546,0.9887696228077271,1.0,5.757757846946551,False,False,2,0.06267131201457232,V258;V257
dense_angle,1,0.25,linear,300,0.0034560951832878586,0.99459120078913,0.9937195030649661,0.9987234069918962,0.6812920690579608,1.3350237093331656,False,False,2,0.14489115600008518,V258;V257
dense_angle,1,0.125,linear,300,0.0033780866931130745,0.9982226914180067,0.9981326645736822,0.999128041420853,0.6812920690579608,1.249655054563376,False,False,2,0.04061926802387461,V258;V257
dense_angle,1,0.0625,linear,300,0.003347288689071719,0.999519615781187,0.9995121219276066,0.9991601418232549,1.0,1.3210192875192832,False,False,2,0.06270395300816745,V258;V257
dense_angle,1,0.03125,linear,300,0.003337430447231676,0.9998774618208538,0.9998766734629602,0.999162867355422,2.154434690031882,1.3437793301445777,False,False,2,0.04150039498927072,V258;V257
dense_angle,1,1.0,none,300,0.0036372251151715,0.9858073205090235,0.9821470065894184,0.8211107308710796,3.1622776601683795,39.05955873602403,False,False,2,0.04986755002755672,V258;V257
dense_angle,1,0.5,none,300,0.0035719993363419467,0.989100285120198,0.9865176891579546,0.9887696228077271,1.0,5.757757846946551,False,False,2,0.08352861303137615,V258;V257
dense_angle,1,0.25,none,300,0.0034560951832878586,0.99459120078913,0.9937195030649661,0.9987234069918962,0.6812920690579608,1.3350237093331656,False,False,2,0.04798153298906982,V258;V257
dense_angle,1,0.125,none,300,0.0033780866931130745,0.9982226914180067,0.9981326645736822,0.999128041420853,0.6812920690579608,1.249655054563376,False,False,2,0.06761512398952618,V258;V257
dense_angle,1,0.0625,none,300,0.003347288689071719,0.999519615781187,0.9995121219276066,0.9991601418232549,1.0,1.3210192875192832,False,False,2,0.07064944203011692,V258;V257
dense_angle,1,0.03125,none,300,0.003337430447231676,0.9998774618208538,0.9998766734629602,0.999162867355422,2.154434690031882,1.3437793301445777,False,False,2,0.13279984996188432,V258;V257
zz,4,1.0,linear,300,0.07406213903719806,0.1757143659297,0.14816909069960527,0.6719220895821522,10.0,364.0478338748184,True,False,4,0.1597862479975447,V258;V257;card1;TransactionAmt
zz,4,0.5,linear,300,0.04578848826050707,0.19823733713730735,0.18460962865712494,0.799866504713447,10.0,307.0172027522025,True,False,4,0.374646375013981,V258;V257;card1;TransactionAmt
zz,4,0.25,linear,300,0.022757898515835775,0.35194965999912914,0.3093328892410157,0.8448755945026125,10.0,279.04650365444775,True,False,4,0.7078744510072283,V258;V257;card1;TransactionAmt
