arm,seed,alpha,ratio,empirical,inside,conservative,tail_p
temporal,20260828,0.01,1.4938346834898557,0.014938346834898558,False,False,2.1105247731330575e-18
temporal,20260828,0.005,1.4929385619040791,0.007464692809520395,False,False,4.368619409511921e-10
temporal,20260828,0.002,1.3217793390207182,0.0026435586780414366,False,False,0.003818414538691305
temporal,20260828,0.001,0.9767725284966664,0.0009767725284966665,True,False,0.5364604926506216
temporal,20260829,0.01,1.4660549143307764,0.014660549143307763,False,False,9.164626956985586e-17
temporal,20260829,0.005,1.4499247257867947,0.007249623628933974,False,False,8.053904405251697e-09
temporal,20260829,0.002,1.3128181231629505,0.0026256362463259013,False,False,0.004656669732644747
temporal,20260829,0.001,0.940927665065596,0.0009409276650655961,True,False,0.62517370818009
temporal,20260830,0.01,1.348662986594021,0.01348662986594021,False,False,1.3130047858292215e-10
temporal,20260830,0.005,1.4212488350419386,0.0071062441752096925,False,False,5.081167016342008e-08
temporal,20260830,0.002,1.3441823786651372,0.0026883647573302744,False,False,0.002290804789390105
temporal,20260830,0.001,0.9319664492078285,0.0009319664492078285,True,False,0.6468152792708866
temporal,20260831,0.01,1.441859631514804,0.01441859631514804,False,False,2.1579814617513455e-15
temporal,20260831,0.005,1.4212488350419386,0.0071062441752096925,False,False,5.081167016342008e-08
temporal,20260831,0.002,1.2052835328697398,0.0024105670657394796,True,False,0.03830360975032402
temporal,20260831,0.001,0.9230052333500609,0.0009230052333500609,True,False,0.66810330615487
temporal,20260901,0.01,1.4311061724854828,0.014311061724854829,False,False,8.455452561425498e-15
temporal,20260901,0.005,1.4929385619040791,0.007464692809520395,False,False,4.368619409511921e-10
temporal,20260901,0.002,1.3845078500250914,0.002769015700050183,False,False,0.0008669521979666219
temporal,20260901,0.001,0.940927665065596,0.0009409276650655961,True,False,0.62517370818009
stratified,20260828,0.01,0.9519631498135556,0.009519631498135556,True,False,0.8206403799489377
stratified,20260828,0.005,1.0160122833954814,0.005080061416977407,True,False,0.39201036071303563
stratified,20260828,0.002,1.0309278350515465,0.002061855670103093,True,False,0.361115771977467
stratified,20260828,0.001,1.1581487168238649,0.001158148716823865,True,False,0.14413259395657166
stratified,20260829,0.01,1.0203992103531476,0.010203992103531477,True,False,0.3323287558027958
stratified,20260829,0.005,1.0528624698398772,0.005264312349199386,True,False,0.21949362452948928
stratified,20260829,0.002,0.9695108576442202,0.0019390217152884404,True,False,0.5716866080723922
stratified,20260829,0.001,0.9563500767712217,0.0009563500767712218,True,False,0.5584397355603997
stratified,20260830,0.01,1.0089932002632156,0.010089932002632156,True,False,0.41612555952001984
stratified,20260830,0.005,0.9896907216494845,0.004948453608247422,True,False,0.5355032294283824
stratified,20260830,0.002,0.9431892958982233,0.0018863785917964467,True,False,0.6613735439134495
stratified,20260830,0.001,1.0265409080938803,0.0010265409080938803,True,False,0.38652724427115015
stratified,20260831,0.01,1.002851502522483,0.01002851502522483,True,False,0.4633969597683548
stratified,20260831,0.005,1.0528624698398772,0.005264312349199386,True,False,0.21949362452948928
stratified,20260831,0.002,1.022153981136214,0.002044307962272428,True,False,0.3897410407789847
stratified,20260831,0.001,0.7984207062952402,0.0007984207062952402,True,False,0.8842321469737758
stratified,20260901,0.01,1.05637201140601,0.0105637201140601,True,False,0.1305456522182526
stratified,20260901,0.005,1.0844483439350734,0.005422241719675367,True,False,0.1161124458254848
stratified,20260901,0.002,1.1274402281202016,0.0022548804562404034,True,False,0.12237735773960537
stratified,20260901,0.001,0.8686115376178987,0.0008686115376178987,True,False,0.7633266120750636
card_disjoint,20260828,0.01,0.895805999185631,0.00895805999185631,True,False,0.9788379930339495
card_disjoint,20260828,0.005,0.8505632719540335,0.004252816359770167,True,False,0.9816758414399407
card_disjoint,20260828,0.002,0.7826991811066372,0.0015653983622132743,True,False,0.9742554863362134
card_disjoint,20260828,0.001,0.7600778174908384,0.0007600778174908383,True,False,0.9292773080110612
card_disjoint,20260829,0.01,1.075507557860708,0.01075507557860708,True,False,0.0665910908000491
card_disjoint,20260829,0.005,0.9396259258601396,0.004698129629300698,True,False,0.7930826461210745
card_disjoint,20260829,0.002,0.8303877511145846,0.0016607755022291692,True,False,0.9354505493617917
card_disjoint,20260829,0.001,0.7460168031403754,0.0007460168031403754,True,False,0.9525081586956178
card_disjoint,20260830,0.01,1.0297502943398877,0.010297502943398878,True,False,0.2777969378464653
card_disjoint,20260830,0.005,0.9928479800376052,0.004964239900188026,True,False,0.5251753213984713
card_disjoint,20260830,0.002,0.9313441228671341,0.0018626882457342682,True,False,0.7195029097187238
card_disjoint,20260830,0.001,0.6501836329449804,0.0006501836329449804,True,False,0.9915537634973461
card_disjoint,20260831,0.01,0.7853147906861311,0.007853147906861311,False,True,0.9999961030381557
card_disjoint,20260831,0.005,0.9200414816390565,0.0046002074081952825,True,False,0.8615952658387828
card_disjoint,20260831,0.002,1.1655631487045852,0.0023311262974091704,True,False,0.07496109513790043
card_disjoint,20260831,0.001,1.5245388713094192,0.0015245388713094193,False,False,0.0015015623498482083
card_disjoint,20260901,0.01,0.794822402650008,0.00794822402650008,False,True,0.9999925439343127
card_disjoint,20260901,0.005,0.8821358489207337,0.004410679244603669,True,False,0.9530962398601873
card_disjoint,20260901,0.002,0.8101247592129188,0.0016202495184258377,True,False,0.9603149918903824
card_disjoint,20260901,0.001,0.7291122832916269,0.0007291122832916269,True,False,0.965760519755116
