experiment,model,bond_dimension,n_features,n_train,n_eval,seed,fit_seconds,final_loss,roc_auc,average_precision
full,mps,4,431,356216,115534,20260828,2765.4361740009626,0.34560399348557985,0.807439921708344,0.2149426770600668
full,mps,8,431,356216,115534,20260828,3071.4512312869774,0.30750159967351787,0.7989144898686703,0.17886831307537607
full,mps,16,431,356216,115534,20260828,2840.0947399960132,0.3119734982945766,0.7983280030693825,0.24642561186213535
full,mps,32,431,356216,115534,20260828,2897.6066707189893,0.36520636098361353,0.7888501044647716,0.16930025486407546
