experiment,model,bond_dimension,n_features,n_train,n_eval,seed,fit_seconds,final_loss,roc_auc,average_precision
band,mps,4.0,8,2916,2537,20260828,1.8776049430016428,0.6825470061786217,0.5231026334311037,0.12017835643547212
band,mps,8.0,8,2916,2537,20260828,0.6172623069724068,0.6831042639839633,0.5051456842494132,0.1172616848327914
band,mps,16.0,8,2916,2537,20260828,0.7631649340037256,0.680928851760137,0.5098494909251882,0.11825672407208812
band,mps,32.0,8,2916,2537,20260828,0.6296885210322216,0.6772319596817791,0.5211106015585938,0.12351067763425612
band,xgboost,,8,2916,2537,20260828,0.28189712099265307,,0.5643023429861689,0.14070859136425828
