setting,n_features,n_eval,positive_rate,mps_average_precision,baseline_average_precision,mps_roc_auc,baseline_roc_auc,raw_ap_share,ap_lift_share,auc_lift_share
band,8,2537,0.10957824201813166,0.1235106776342561,0.1407085913642582,0.5231026334311037,0.5643023429861689,87.77763776663706,44.75515343954218,35.92813629835076
full,431,115534,0.0341198261983485,0.2511790507048869,0.5113559624854281,0.807439921708344,0.8884008038324288,49.12019593631796,45.482562614656494,79.15532580642792
