bond_dimension,n_seeds,n_stalled,roc_auc_mean,roc_auc_min,roc_auc_max,average_precision_mean,average_precision_min,average_precision_max,ap_seed_spread,ap_across_chi_spread
4,4,0,0.802349666658683,0.7904148652849645,0.807439921708344,0.19965330959258154,0.1442490588264769,0.2511790507048869,0.10692999187840999,0.06288515606845932
8,4,1,0.7301352301463013,0.532744556672875,0.7989144898686703,0.1492813223595583,0.0452505709078297,0.2091838278841435,0.1639332569763138,0.06288515606845932
16,4,0,0.7921594431765073,0.7823857090803241,0.8011803510297841,0.19845357267854302,0.1740270176606267,0.2464256118621353,0.0723985942015086,0.06288515606845932
32,4,1,0.7103068433518362,0.4876234970117823,0.8007417606644106,0.13676815352412222,0.0496732591952805,0.2277529417727311,0.1780796825774506,0.06288515606845932
