hypothesis,bond_dimension,ap_mps,ap_gbdt,ap_difference,ci_low,ci_high,standard_error,n_clusters,n_resamples_usable,minimum_detectable_effect,resolvable,seed,p_value,rejects_null_holm
H4,4,0.12017835643547212,0.14070859136425828,-0.020530234928786167,-0.05930239811707712,0.014899762859437048,0.018684425911903082,689,2000,0.0069446228564252,True,20260828,0.8640698657108365,False
H4,8,0.1172616848327914,0.14070859136425828,-0.023446906531466888,-0.06300057341014824,0.012231931616464908,0.018709142736964057,689,2000,0.0069446228564252,True,20260828,0.8949394551028146,False
H4,16,0.11825672407208812,0.14070859136425828,-0.022451867292170163,-0.061253354817358836,0.01359428505629436,0.01874801964281692,689,2000,0.0069446228564252,True,20260828,0.8844557065098401,False
H4,32,0.12351067763425612,0.14070859136425828,-0.017197913730002165,-0.05819793128094883,0.019997688256485523,0.01989326700750261,689,2000,0.0069446228564252,True,20260828,0.8063459047918773,False
