arm,roc_auc_mean,roc_auc_min,roc_auc_max,average_precision_mean,average_precision_min,average_precision_max,n_seeds,ap_inflation_vs_temporal,auc_inflation_vs_temporal
stratified,0.9658122474870036,0.9628089865874988,0.9684504016405174,0.8254239470868336,0.8170838016298109,0.8355685376084355,5,0.3164127378393333,0.08066522180502267
temporal,0.8851470256819809,0.8837072874626016,0.8884008038324288,0.5090112092475003,0.5054620700548068,0.5113559624854281,5,0.0,0.0
card_disjoint,0.8509471861016479,0.8361870096292117,0.8634176383330555,0.5394464542806402,0.4803490482313883,0.5679680593911856,5,0.03043524503313988,-0.034199839580333014
